kod_lotniska,nazwa_lotniska,miasto,stan,kraj,latitude,longitude
CHO,Charlottesville Albemarle Airport,Charlottesville,US-VA,US,38.13859939575195,-78.4529037475586
CHS,Charleston International Airport,Charleston,US-SC,US,32.898602,-80.040497
CIC,Chico Regional Airport,Chico,US-CA,US,39.795595,-121.857716
CID,The Eastern Iowa Airport,Cedar Rapids,US-IA,US,41.884701,-91.7108
CIU,Chippewa County International Airport,Kincheloe,US-MI,US,46.247707,-84.471379
CKB,North Central West Virginia Airport,Bridgeport,US-WV,US,39.2966,-80.228104
CLD,McClellan-Palomar Airport,Carlsbad,US-CA,US,33.1283,-117.279999
CLE,Cleveland Hopkins International Airport,Cleveland,US-OH,US,41.411701,-81.8498
CLL,Easterwood Field,College Station,US-TX,US,30.5886,-96.3638
CLT,Charlotte Douglas International Airport,Charlotte,US-NC,US,35.2140007019043,-80.94309997558594
CMH,John Glenn Columbus International Airport,Columbus,US-OH,US,39.998001,-82.891899
CMI,University of Illinois Willard Airport,Savoy,US-IL,US,40.039819,-88.276249
CMX,Houghton County Memorial Airport,Hancock,US-MI,US,47.168399810791016,-88.48909759521484
CNY,Canyonlands Regional Airport,Moab,US-UT,US,38.755001,-109.754997
COD,Yellowstone Regional Airport,Cody,US-WY,US,44.520199,-109.024002
COS,City of Colorado Springs Municipal Airport,Colorado Springs,US-CO,US,38.805801,-104.700996
COU,Columbia Regional Airport,Columbia,US-MO,US,38.8181,-92.219597
CPR,Casper-Natrona County International Airport,Casper,US-WY,US,42.908001,-106.463997
CRP,Corpus Christi International Airport,Corpus Christi,US-TX,US,27.770399,-97.501198
CRW,Yeager Airport,Charleston,US-WV,US,38.3731,-81.593201
CSG,Columbus Metropolitan Airport,Columbus,US-GA,US,32.516300201416016,-84.93890380859375
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,US-KY,US,39.048801,-84.667801
CWA,Central Wisconsin Airport,Mosinee,US-WI,US,44.777448,-89.670238
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,US-WY,US,41.155701,-104.811997
DAB,Daytona Beach International Airport,Daytona Beach,US-FL,US,29.179899,-81.058098
DAL,Dallas Love Field,Dallas,US-TX,US,32.847099,-96.851799
DAY,James M Cox Dayton International Airport,Dayton,US-OH,US,39.902401,-84.219398
DBQ,Dubuque Regional Airport,Dubuque,US-IA,US,42.402,-90.709503
DCA,Ronald Reagan Washington National Airport,Washington,US-DC,US,38.8521,-77.037697
DEN,Denver International Airport,Denver,US-CO,US,39.861698150635,-104.672996521
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US-TX,US,32.896801,-97.038002
DHN,Dothan Regional Airport,Dothan,US-AL,US,31.321300506591797,-85.44960021972656
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,US-ND,US,46.797533,-102.801905
DLG,Dillingham Airport,Dillingham,US-AK,US,59.04470062,-158.5050049
DLH,Duluth International Airport,Duluth,US-MN,US,46.842098,-92.193604
DRO,Durango La Plata County Airport,Durango,US-CO,US,37.151501,-107.753998
DRT,Del Rio International Airport,Del Rio,US-TX,US,29.3742008209,-100.927001953
DSM,Des Moines International Airport,Des Moines,US-IA,US,41.534,-93.663101
DTW,Detroit Metropolitan Wayne County Airport,Detroit,US-MI,US,42.21377,-83.353786
DVL,Devils Lake Regional Airport,Devils Lake,US-ND,US,48.115454,-98.908796
EAR,Kearney Regional Airport,Kearney,US-NE,US,40.727001,-99.006798
EAU,Chippewa Valley Regional Airport,Eau Claire,US-WI,US,44.86579895019531,-91.48429870605467
ECP,Northwest Florida Beaches International Airport,Panama City Beach,US-FL,US,30.357106,-85.795414
EFD,Ellington Airport,Houston,US-TX,US,29.6072998047,-95.1587982178
EGE,Eagle County Regional Airport,Eagle,US-CO,US,39.64260101,-106.9179993
EKO,Elko Regional Airport,Elko,US-NV,US,40.82490158081055,-115.79199981689452
ELM,Elmira Corning Regional Airport,Elmira/Corning,US-NY,US,42.1599006652832,-76.8916015625
ELP,El Paso International Airport,El Paso,US-TX,US,31.807199,-106.377998
ENV,Wendover Airport,Wendover,US-UT,US,40.7187004089,-114.03099823
ERI,Erie International Tom Ridge Field,Erie,US-PA,US,42.083127,-80.173867
ESC,Delta County Airport,Escanaba,US-MI,US,45.723199,-87.088623
EUG,Mahlon Sweet Field,Eugene,US-OR,US,44.12459945678711,-123.21199798583984
EVV,Evansville Regional Airport,Evansville,US-IN,US,38.0369987488,-87.5324020386
EWN,Coastal Carolina Regional Airport,New Bern,US-NC,US,35.0730018616,-77.04290008539999
EWR,Newark Liberty International Airport,Newark,US-NJ,US,40.692501,-74.168701
EYW,Key West International Airport,Key West,US-FL,US,24.556101,-81.759598
FAI,Fairbanks International Airport,Fairbanks,US-AK,US,64.815102,-147.856003
FAR,Hector International Airport,Fargo,US-ND,US,46.92070007324219,-96.81580352783205
FAT,Fresno Yosemite International Airport,Fresno,US-CA,US,36.776199,-119.718002
FAY,Fayetteville Regional Airport - Grannis Field,Fayetteville,US-NC,US,34.991199,-78.880302
FCA,Glacier Park International Airport,Kalispell,US-MT,US,48.31050109863281,-114.25599670410156
FLG,Flagstaff Pulliam International Airport,Flagstaff,US-AZ,US,35.1385,-111.670998
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US-FL,US,26.072599,-80.152702
FLO,Florence Regional Airport,Florence,US-SC,US,34.18539810180664,-79.7238998413086
